text,intent,response
Hafta sonu boş saatim var mı?,check_free_time,Hafta sonu boş saatlerini kontrol ediyorum...
Bu hafta hangi günlerim müsait?,check_free_time,Bu hafta boş günlerini sana listeleyebilirim.
Yarın boş zamanım var mı?,check_free_time,Yarın müsait olup olmadığını kontrol ediyorum...
Bugün takvimimde ne var?,show_events_today,Bugünkü etkinliklerini getiriyorum...
Bugün ajandamda etkinlik var mı?,show_events_today,Ajandandaki etkinlikleri kontrol ediyorum...
Etkinlik listesi gönderir misin?,show_events_today,İşte etkinlik listesi...
takvimimde etkinlik ekle 17-03-2025 sunum,add_event,17 Mart 2025 tarihine 'sunum' etkinliği eklenmiştir!
13 Mart'a toplantı ekle,add_event,13 Mart için toplantı eklenmiştir!
Takvimime 25 Nisan'da doğum günü partisi ekle,add_event,25 Nisan için doğum günü partisi eklendi!
23 Nisan’da bir seminer ekler misin?,add_event,25 Nisan için seminer eklenmiştir!
Bana etkinlik öner,recommend_event,İlgi alanlarına uygun etkinlikleri listeliyorum...
Ne yapabilirim? Canım sıkılıyor.,recommend_event,Sana uygun bir etkinlik önerisi bulabilirim.
Spor etkinlikleri önerir misin?,recommend_event,İşte bazı spor etkinlikleri...
Bugün için sana uygun etkinlik önerisi var mı?,recommend_event,Bugün için önerilen etkinlikler bunlar...
Kampanyaları gösterir misin?,show_campaigns,İşte mevcut kampanyalar...
GSB kampanyalarını listele,show_campaigns,GSB kampanyaları listeleniyor...
İndirimli fırsatlar neler?,show_campaigns,İşte indirimli fırsatlar...
Etkinliği iptal et,delete_event,Belirtilen etkinlik iptal edildi!
Bu tarihteki etkinliği sil,delete_event,Seçilen tarihteki etkinlik başarıyla silindi!
Gençlik Kampları nedir?,show_genclik_kamplari,Gençlik Kampları hakkında bilgi getiriliyor...
Bana Gençlik Kampları hakkında bilgi ver,show_genclik_kamplari,İşte Gençlik Kampları ile ilgili detaylar...
Gençlik Kamp Başvurusu nasıl yapabilirim?,show_genclik_kamp_basvurusu,Kamp başvurusu için gerekli bilgileri getiriyorum...
Gençlik Kamp Sonuçları sayfasına gidebilir miyim?,show_genclik_kamp_sonuclari,Sonuçlar sayfasına buradan ulaşabilirsin: https://biz.gsb.gov.tr/page/krediburs/basvuru/
360 Sanal Tur nedir?,show_360_sanal_tur,360 Sanal Tur ile kampları gezebilirsin. Daha fazla bilgi için tıkla: https://biz.gsb.gov.tr/page/krediburs/sorgulama/
Kamp Aktiviteleri hakkında bilgi alabilir miyim?,show_kamp_aktiviteleri,İşte kamp aktiviteleri hakkında bilgiler...
Kamplar hakkında SSS var mı?,show_genclik_kamplari_sss,Kamplar ile ilgili sıkça sorulan sorular: https://biz.gsb.gov.tr/page/krediburs/kredibursumyattimi/
Gençlik Merkezleri nedir?,show_genclik_merkezleri,"Gençlik Merkezleri, gençlere yönelik sosyal ve kültürel faaliyetler sunan alanlardır."
Gm Online Başvuru linkini paylaşır mısın?,show_gm_online_basvuru,Gm Online Başvuru için buraya tıklayabilirsin: https://biz.gsb.gov.tr/page/krediburs/iptal/
Nakil Talebi nasıl yapabilirim?,show_gm_nakil_talebi,Nakil talebi için şu adımları takip edebilirsin: https://biz.gsb.gov.tr/page/krediburs/krediBursSSS/
KYK burs başvurusu nasıl yapılır?,show_kredi_burs_basvurusu,KYK burs başvurusu için <a href=buraya target='_blank'>Link</a>(https://biz.gsb.gov.tr/page/krediburs/basvuru/) tıklayabilirsiniz.
KYK kredi borcumu nasıl öğrenebilirim?,show_kredi_borcu_sorgulama,Kredi borcunuzu öğrenmek için <a href=buraya target='_blank'>Link</a>(https://biz.gsb.gov.tr/page/krediburs/sorgulama/) tıklayabilirsiniz.
KYK bursum yattı mı?,show_kredi_burs_yatti_mi,Burs veya kredinizin yatıp yatmadığını kontrol etmek için <a href=buraya target='_blank'>Link</a>(https://biz.gsb.gov.tr/page/krediburs/kredibursumyattimi/) tıklayabilirsiniz.
KYK kredimi iptal edebilir miyim?,show_kredi_burs_iptali,KYK kredinizi iptal etmek için <a href=buraya target='_blank'>Link</a>(https://biz.gsb.gov.tr/page/krediburs/iptal/) tıklayabilirsiniz.
KYK kredi/burs işlemleri hakkında sıkça sorulan sorular var mı?,show_kredi_burs_sss,KYK kredi ve burs işlemleriyle ilgili sıkça sorulan sorulara <a href=buradan target='_blank'>Link</a>(https://biz.gsb.gov.tr/page/krediburs/krediBursSSS/) ulaşabilirsiniz.
GSB Bilişim Eğitimleri nelerdir?,show_bilisim_egitimleri,GSB Bilişim Eğitimleri hakkında detaylı bilgiye <a href=buradan target='_blank'>Link</a>(https://biz.gsb.gov.tr/page/egitim/BilisimEgitimleri/) ulaşabilirsiniz.
GSB Mentörlük programı nedir?,show_mentorum,GSB Mentörlük programı hakkında detaylı bilgi için <a href=buraya target='_blank'>Link</a>(https://biz.gsb.gov.tr/page/egitim/mentorum/) tıklayabilirsiniz.
GSB eğitim programlarına nasıl katılabilirim?,show_egitimler,GSB'nin sunduğu eğitim programlarına katılmak için <a href=buraya target='_blank'>Link</a>(https://biz.gsb.gov.tr/page/egitim/egitimler/) göz atabilirsiniz.
GSB eğitimcileri kimlerdir?,show_egitmenler,GSB eğitimcileri hakkında bilgi almak için <a href=buraya target='_blank'>Link</a>(https://biz.gsb.gov.tr/page/egitim/egitmenler/) tıklayabilirsiniz.
KYK yurt asansör takip sistemine nasıl erişebilirim?,show_yurt_asansor_takip,KYK yurt asansör takip sistemine erişmek için <a href=buraya target='_blank'>Link</a>(https://biz.gsb.gov.tr/page/yurt/yurtAsansorTakip/) tıklayabilirsiniz.
['Hafta sonu boş saatim volt ampere mı?'],check_free_time,Hafta sonu boş saatlerini kontrol ediyorum...
['Sonu hafta boş saatim var mı?'],check_free_time,Hafta sonu boş saatlerini kontrol ediyorum...
Hafta sonu boş saatim var mı? (Lütfen ayrıntılı bilgi ver.),check_free_time,Hafta sonu boş saatlerini kontrol ediyorum...
Hafta sonu boş saatim mı?,check_free_time,Hafta sonu boş saatlerini kontrol ediyorum...
['Bu hafta hangi günlerim müsait?'],check_free_time,Bu hafta boş günlerini sana listeleyebilirim.
['Bu hafta müsait hangi günlerim?'],check_free_time,Bu hafta boş günlerini sana listeleyebilirim.
Bu hafta hangi günlerim müsait? (Lütfen ayrıntılı bilgi ver.),check_free_time,Bu hafta boş günlerini sana listeleyebilirim.
Bu hafta hangi günlerim müsait?,check_free_time,Bu hafta boş günlerini sana listeleyebilirim.
['Yarın boş zamanım volt ampere mı?'],check_free_time,Yarın müsait olup olmadığını kontrol ediyorum...
['Boş yarın zamanım mı var?'],check_free_time,Yarın müsait olup olmadığını kontrol ediyorum...
Yarın boş zamanım var mı? (Lütfen ayrıntılı bilgi ver.),check_free_time,Yarın müsait olup olmadığını kontrol ediyorum...
Yarın boş zamanım mı?,check_free_time,Yarın müsait olup olmadığını kontrol ediyorum...
['Bugün takvimimde ne volt ampere?'],show_events_today,Bugünkü etkinliklerini getiriyorum...
['Takvimimde bugün ne? var'],show_events_today,Bugünkü etkinliklerini getiriyorum...
Bugün takvimimde ne var? (Lütfen ayrıntılı bilgi ver.),show_events_today,Bugünkü etkinliklerini getiriyorum...
Bugün takvimimde var?,show_events_today,Bugünkü etkinliklerini getiriyorum...
['Bugün ajandamda etkinlik var mı?'],show_events_today,Ajandandaki etkinlikleri kontrol ediyorum...
['Ajandamda bugün etkinlik mı var?'],show_events_today,Ajandandaki etkinlikleri kontrol ediyorum...
Bugün ajandamda etkinlik var mı? (Lütfen ayrıntılı bilgi ver.),show_events_today,Ajandandaki etkinlikleri kontrol ediyorum...
Bugün ajandamda etkinlik mı?,show_events_today,Ajandandaki etkinlikleri kontrol ediyorum...
['Etkinlik listesi gönderir misin?'],show_events_today,İşte etkinlik listesi...
['Listesi etkinlik gönderir? misin'],show_events_today,İşte etkinlik listesi...
Etkinlik listesi gönderir misin? (Lütfen ayrıntılı bilgi ver.),show_events_today,İşte etkinlik listesi...
Etkinlik listesi gönderir misin?,show_events_today,İşte etkinlik listesi...
['takvimimde etkinlik ekle 17 - 03 - 2025 sunum'],add_event,17 Mart 2025 tarihine 'sunum' etkinliği eklenmiştir!
['takvimimde ekle etkinlik - 17 03 2025 - sunum'],add_event,17 Mart 2025 tarihine 'sunum' etkinliği eklenmiştir!
takvimimde etkinlik ekle 17-03-2025 sunum (Lütfen ayrıntılı bilgi ver.),add_event,17 Mart 2025 tarihine 'sunum' etkinliği eklenmiştir!
takvimimde etkinlik ekle 17-03-2025 sunum,add_event,17 Mart 2025 tarihine 'sunum' etkinliği eklenmiştir!
"[""baker's dozen Market ' a toplantı ekle""]",add_event,13 Mart için toplantı eklenmiştir!
"[""Mart 13 a ' toplantı ekle""]",add_event,13 Mart için toplantı eklenmiştir!
13 Mart'a toplantı ekle (Lütfen ayrıntılı bilgi ver.),add_event,13 Mart için toplantı eklenmiştir!
13 Mart'a toplantı ekle,add_event,13 Mart için toplantı eklenmiştir!
"[""Takvimime 25 Nissan ' da doğum günü partisi ekle""]",add_event,25 Nisan için doğum günü partisi eklendi!
"[""25 takvimime ' Nisan da doğum günü ekle partisi""]",add_event,25 Nisan için doğum günü partisi eklendi!
Takvimime 25 Nisan'da doğum günü partisi ekle (Lütfen ayrıntılı bilgi ver.),add_event,25 Nisan için doğum günü partisi eklendi!
Takvimime 25 Nisan'da doğum günü partisi ekle,add_event,25 Nisan için doğum günü partisi eklendi!
['twenty three Nissan ’ district attorney bir seminer ekler misin?'],add_event,25 Nisan için seminer eklenmiştir!
['’ 23 Nisan da seminer bir ekler misin?'],add_event,25 Nisan için seminer eklenmiştir!
23 Nisan’da bir seminer ekler misin? (Lütfen ayrıntılı bilgi ver.),add_event,25 Nisan için seminer eklenmiştir!
23 Nisan’da seminer ekler misin?,add_event,25 Nisan için seminer eklenmiştir!
['Bana etkinlik öner'],recommend_event,İlgi alanlarına uygun etkinlikleri listeliyorum...
['Etkinlik bana öner'],recommend_event,İlgi alanlarına uygun etkinlikleri listeliyorum...
Bana etkinlik öner (Lütfen ayrıntılı bilgi ver.),recommend_event,İlgi alanlarına uygun etkinlikleri listeliyorum...
Bana etkinlik öner,recommend_event,İlgi alanlarına uygun etkinlikleri listeliyorum...
['Ne yapabilirim? Canım sıkılıyor.'],recommend_event,Sana uygun bir etkinlik önerisi bulabilirim.
['Ne? yapabilirim sıkılıyor Canım.'],recommend_event,Sana uygun bir etkinlik önerisi bulabilirim.
Ne yapabilirim? Canım sıkılıyor. (Lütfen ayrıntılı bilgi ver.),recommend_event,Sana uygun bir etkinlik önerisi bulabilirim.
yapabilirim? Canım sıkılıyor.,recommend_event,Sana uygun bir etkinlik önerisi bulabilirim.
['Spor etkinlikleri önerir misin?'],recommend_event,İşte bazı spor etkinlikleri...
['Etkinlikleri önerir spor misin?'],recommend_event,İşte bazı spor etkinlikleri...
Spor etkinlikleri önerir misin? (Lütfen ayrıntılı bilgi ver.),recommend_event,İşte bazı spor etkinlikleri...
Spor etkinlikleri önerir misin?,recommend_event,İşte bazı spor etkinlikleri...
['Bugün için sana uygun etkinlik önerisi var mı?'],recommend_event,Bugün için önerilen etkinlikler bunlar...
['Bugün sana için uygun etkinlik var mı önerisi?'],recommend_event,Bugün için önerilen etkinlikler bunlar...
Bugün için sana uygun etkinlik önerisi var mı? (Lütfen ayrıntılı bilgi ver.),recommend_event,Bugün için önerilen etkinlikler bunlar...
Bugün için sana uygun etkinlik önerisi mı?,recommend_event,Bugün için önerilen etkinlikler bunlar...
['Kampanyaları gösterir misin?'],show_campaigns,İşte mevcut kampanyalar...
['Gösterir kampanyaları? misin'],show_campaigns,İşte mevcut kampanyalar...
Kampanyaları gösterir misin? (Lütfen ayrıntılı bilgi ver.),show_campaigns,İşte mevcut kampanyalar...
Kampanyaları gösterir misin?,show_campaigns,İşte mevcut kampanyalar...
['GSB kampanyalarını listele'],show_campaigns,GSB kampanyaları listeleniyor...
['GSB listele kampanyalarını'],show_campaigns,GSB kampanyaları listeleniyor...
GSB kampanyalarını listele (Lütfen ayrıntılı bilgi ver.),show_campaigns,GSB kampanyaları listeleniyor...
GSB kampanyalarını listele,show_campaigns,GSB kampanyaları listeleniyor...
['İndirimli fırsatlar neler?'],show_campaigns,İşte indirimli fırsatlar...
['Fırsatlar neler i̇ndirimli?'],show_campaigns,İşte indirimli fırsatlar...
İndirimli fırsatlar neler? (Lütfen ayrıntılı bilgi ver.),show_campaigns,İşte indirimli fırsatlar...
İndirimli fırsatlar neler?,show_campaigns,İşte indirimli fırsatlar...
['Etkinliği iptal et'],delete_event,Belirtilen etkinlik iptal edildi!
['Iptal etkinliği et'],delete_event,Belirtilen etkinlik iptal edildi!
Etkinliği iptal et (Lütfen ayrıntılı bilgi ver.),delete_event,Belirtilen etkinlik iptal edildi!
Etkinliği iptal et,delete_event,Belirtilen etkinlik iptal edildi!
['Bu tarihteki etkinliği sil'],delete_event,Seçilen tarihteki etkinlik başarıyla silindi!
['Tarihteki bu sil etkinliği'],delete_event,Seçilen tarihteki etkinlik başarıyla silindi!
Bu tarihteki etkinliği sil (Lütfen ayrıntılı bilgi ver.),delete_event,Seçilen tarihteki etkinlik başarıyla silindi!
Bu tarihteki etkinliği sil,delete_event,Seçilen tarihteki etkinlik başarıyla silindi!
['Gençlik Kampları nedir?'],show_genclik_kamplari,Gençlik Kampları hakkında bilgi getiriliyor...
['Kampları nedir gençlik?'],show_genclik_kamplari,Gençlik Kampları hakkında bilgi getiriliyor...
Gençlik Kampları nedir? (Lütfen ayrıntılı bilgi ver.),show_genclik_kamplari,Gençlik Kampları hakkında bilgi getiriliyor...
Gençlik Kampları nedir?,show_genclik_kamplari,Gençlik Kampları hakkında bilgi getiriliyor...
['Bana Gençlik Kampları hakkında bilgi ver'],show_genclik_kamplari,İşte Gençlik Kampları ile ilgili detaylar...
['Bana Gençlik Kampları hakkında bilgi ver'],show_genclik_kamplari,İşte Gençlik Kampları ile ilgili detaylar...
Bana Gençlik Kampları hakkında bilgi ver (Lütfen ayrıntılı bilgi ver.),show_genclik_kamplari,İşte Gençlik Kampları ile ilgili detaylar...
Bana Gençlik Kampları hakkında bilgi ver,show_genclik_kamplari,İşte Gençlik Kampları ile ilgili detaylar...
['Gençlik Kamp Başvurusu nasıl yapabilirim?'],show_genclik_kamp_basvurusu,Kamp başvurusu için gerekli bilgileri getiriyorum...
['Kamp gençlik Başvurusu nasıl? yapabilirim'],show_genclik_kamp_basvurusu,Kamp başvurusu için gerekli bilgileri getiriyorum...
